id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
14879,sydney swans,17,1989-07-30,1989,H,brisbane bears,3.6 7.12 9.21 12.23,95,1.1 3.6 5.10 9.16,70,W,25,Sydney Cricket Ground,7437.0,12,23,9,16
14891,sydney swans,7,1990-05-13,1990,A,brisbane bears,3.3 6.5 9.5 13.10,88,3.2 9.4 12.10 14.12,96,L,-8,People First Stadium,7226.0,13,10,14,12
14904,sydney swans,20,1990-08-17,1990,H,brisbane bears,1.6 3.11 4.15 11.20,86,3.4 4.7 7.11 7.13,55,W,31,Sydney Cricket Ground,5272.0,11,20,7,13
14916,sydney swans,11,1991-06-02,1991,H,brisbane bears,2.4 4.6 10.8 18.13,121,7.4 16.8 20.8 26.12,168,L,-47,Sydney Cricket Ground,7657.0,18,13,26,12
15519,western bulldogs,9,1987-05-23,1987,H,brisbane bears,3.2 10.10 12.14 14.19,103,3.4 4.5 9.8 10.11,71,W,32,Western Oval,10873.0,14,19,10,11
14957,sydney swans,8,1993-05-16,1993,A,brisbane bears,0.1 0.4 2.6 8.9,57,10.7 19.10 27.17 33.21,219,L,-162,The Gabba,8916.0,8,9,33,21
14985,sydney swans,16,1994-07-10,1994,H,brisbane bears,5.5 9.9 12.16 15.20,110,5.2 12.3 17.6 21.9,135,L,-25,Sydney Cricket Ground,5728.0,15,20,21,9
14995,sydney swans,3,1995-04-16,1995,A,brisbane bears,3.1 7.5 10.8 14.15,99,5.8 7.10 11.13 15.14,104,L,-5,The Gabba,8460.0,14,15,15,14
15010,sydney swans,18,1995-08-06,1995,H,brisbane bears,4.2 9.3 12.7 17.9,111,5.4 13.5 17.10 19.12,126,L,-15,Sydney Cricket Ground,8150.0,17,9,19,12
15023,sydney swans,9,1996-05-26,1996,H,brisbane bears,4.2 7.3 15.5 21.6,132,3.1 6.5 8.8 10.14,74,W,58,Sydney Cricket Ground,26537.0,21,6,10,14
15116,west coast eagles,7,1987-05-08,1987,H,brisbane bears,2.8 7.13 9.17 10.21,81,2.2 4.4 7.8 8.14,62,W,19,WACA,25799.0,10,21,8,14
15129,west coast eagles,20,1987-08-16,1987,A,brisbane bears,4.7 10.11 17.11 21.14,140,4.2 9.7 16.8 18.11,119,W,21,People First Stadium,4859.0,21,14,18,11
15147,west coast eagles,16,1988-07-15,1988,H,brisbane bears,7.2 8.5 12.9 14.14,98,3.4 7.7 11.11 12.17,89,W,9,WACA,16074.0,14,14,12,17
15159,west coast eagles,5,1989-04-30,1989,A,brisbane bears,3.5 6.7 11.9 19.11,125,5.4 7.7 8.8 10.13,73,W,52,People First Stadium,9694.0,19,11,10,13
